,Late-fusion x Content,Fine-tuned DeCAF_6,DeCAF_6,MC-bit,DeCAF_5,Imagenet,random
"Bright,_Energetic",0.35451698236547891,0.33973527662741548,0.33127108728072802,0.25049379052117648,0.31278830129481444,0.23087391488949824,0.068506675646992463
Depth_of_Field,0.2659137845814637,0.2518144890932435,0.2414488185581235,0.2300855965386088,0.20841631492338963,0.20238844594922242,0.066046415361293812
Ethereal,0.41818460827293835,0.3829562279219661,0.36494696840276014,0.32841911814891578,0.35579514967005693,0.19009866897388553,0.065053020976901674
Geometric_Composition,0.44173372607459921,0.40888933142966094,0.39466203671222633,0.39930056509498846,0.36896227501793361,0.34729870529617524,0.066427756980333486
HDR,0.5484398285532861,0.48826447947702412,0.47693807579964914,0.52662378775154295,0.33216982733085637,0.29252019757103653,0.070305750877037179
Hazy,0.56501260892948357,0.5035184714626153,0.50609604144714782,0.4889288201123741,0.38617601976119842,0.33024743615682889,0.072859549002566026
Horror,0.47906925827776486,0.47117844657073837,0.46372410549081872,0.30403454294624771,0.33671311541466487,0.28579519291461852,0.064701169816927806
Long_Exposure,0.46943073079094161,0.41549368152123339,0.38797305139802246,0.42568613521290216,0.30002709500032348,0.25372304921818994,0.067194513294554156
Macro,0.68364820212947219,0.6674238156189245,0.68315700328319295,0.62021332947468488,0.58753654506339481,0.63986850455825617,0.064547695420323598
Melancholy,0.17842338615674075,0.16587826667340577,0.15727173207755146,0.16898824846780905,0.096023105549224566,0.13066668165839798,0.067938598533232905
Minimal,0.49793528062777082,0.47612001438048607,0.46516911333814576,0.45231391449646552,0.31919883412429334,0.28118572731274594,0.06387409481825107
Noir,0.52911339093379051,0.52696547194137877,0.52060671378957835,0.40940940453527203,0.37225711949139001,0.28978130491513371,0.063520577315061014
Romantic,0.20017682199599887,0.21018983905777411,0.20612117324864826,0.16179947078867707,0.13987768149143207,0.18549567370646416,0.067795247664426073
Serene,0.20919806150089884,0.19737418318282968,0.19099111248495315,0.2188197630886278,0.14211956002711809,0.17450413305506046,0.066796529195482568
"Soft,_Pastel",0.30855587416071578,0.30413976643602769,0.31686344400831284,0.26668294186062974,0.26925257547612863,0.27166253549741914,0.071047519003425111
Sunny,0.54998250895640588,0.55117490562158378,0.53955249430885566,0.52251463853915114,0.48120825983306137,0.38750937595424917,0.064191799855523424
Vintage,0.42063037428158373,0.38228388019388926,0.38465264044311265,0.34818329371400936,0.30880557784143459,0.26756906596941815,0.066016248553011039
_mean,0.4188214957993726,0.3966706204241292,0.39008503600422506,0.3601469036054167,0.31278396219474797,0.2800699184468588,0.06687195072443197
